ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
11,Triggered when step fails — re-reads full context + plan + failure,,T-PLANEX,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
12,"8,000-25,000 tokens for complex tasks · replanning adds 40-60% overhead · worst case: wrong plan → full replan → wrong a",,T-PLANEX,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
13,Load CKG before planning — planner knows prerequisites before generating plan → correct plan first time → replanning eli,,T-PLANEX,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
14,LangChain plan-and-execute · LangGraph PlanExecute · OpenAI Assistants multi-step,,T-PLANEX,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
15,Self-critique loop — agent evaluates its own output and iterates,,T-LOOP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
16,Initial action attempt,,T-REFLEXION,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
17,LLM judges whether output meets criteria,,T-REFLEXION,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
18,LLM generates self-critique stored in episodic memory,,T-REFLEXION,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
19,"2-5 trials typical · 3× base agent cost per trial · 15,000-40,000 tokens for 3 trials",,T-REFLEXION,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
20,Agent reflects on wrong action confidently — reflection itself is wrong → more wrong actions,,T-REFLEXION,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
21,CKG provides ground truth before Actor runs → fewer failed attempts → fewer reflection cycles · evaluator can check agai,,T-REFLEXION,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
22,LangChain Reflexion · LangGraph reflexion example · custom Anthropic implementations,,T-REFLEXION,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
23,Explores multiple reasoning paths simultaneously — best path selected,,T-LOOP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
24,LLM generates N candidate next steps,,T-TOT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
25,Separate LLM call evaluates each branch,,T-TOT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
26,"Exponential growth · depth 3 with N=3 → 27 leaf nodes · 100,000-500,000 tokens for serious tasks",,T-TOT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
27,Good paths pruned because evaluator lacks domain knowledge to score them,,T-TOT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
28,CKG constrains which branches are valid before generation · branches that violate REQUIRES edges pruned without LLM call,,T-TOT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
29,LangChain ToT · custom LangGraph graph search · Princeton ToT original code,,T-TOT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
30,Language Agent Tree Search — Monte Carlo tree search with LLM,,T-LOOP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
31,"Most expensive loop pattern · 50,000-500,000 tokens per session · multiple simulation rollouts · backpropagation require",,T-LATS,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
32,CKG prunes invalid expansion nodes before simulation · reduces simulation count dramatically · each simulation is faster,,T-LATS,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
33,LangGraph LATS · custom implementations only · rarely used in production due to cost,,T-LATS,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
34,Central orchestrator spawns specialized subagents · subagents report back · orchestrator synthesizes,,T-LOOP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
35,Main LLM — sees all subagent outputs,,T-ORCSUB,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
36,Specialized task execution,,T-ORCSUB,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
37,"2-8 subagents typical · 20,000-80,000 tokens orchestrator context alone · worst case: verbose subagent outputs flood orc",,T-ORCSUB,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
38,Each subagent queries CKG for its domain before acting → compact results reported back → orchestrator context stays smal,,T-ORCSUB,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
39,CrewAI · AutoGen GroupChat · LangGraph multi-agent · NVIDIA AgentIQ,,T-ORCSUB,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
40,"N agents argue, critique, respond · shared message thread",,T-LOOP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
41,Worst of all patterns for context · full thread visible to all agents · 3 agents × 5 rounds = 15 turns × growing thread,,T-MAD,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
42,CKG as shared ground truth all agents agree on — reduces debate rounds about facts,,T-MAD,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
43,AutoGen GroupChat · MetaGPT · custom LangGraph,,T-MAD,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
44,Generator + evaluator in tight loop · generator improves based on evaluator score,,T-LOOP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
45,"5-20 iterations typical · 2 LLM calls per iteration · 20,000-60,000 tokens typical",,T-EVALOPT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
46,CKG provides evaluation criteria as declared edges — evaluator checks against graph not vibes,,T-EVALOPT,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
47,"Best for: ReAct, Plan-Execute, LATS, custom loops",,T-FRAMEWORKIMP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
48,"Best for: Multi-Agent-Debate, Orchestrator-Subagent",,T-FRAMEWORKIMP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
49,Best for: Orchestrator-Subagent (sequential and hierarchical),,T-FRAMEWORKIMP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
50,Best for: ReAct with document retrieval,,T-FRAMEWORKIMP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
51,"Best for: Plan-Execute, code-focused ReAct",,T-FRAMEWORKIMP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
52,Best for: Plan-Execute with code interpreter,,T-FRAMEWORKIMP,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
53,"Cheapest in practice for simple tasks · 3,000-15,000 tokens",,T-COST,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
54,"Moderate · 8,000-25,000 tokens · replanning is the variable",,T-COST,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
55,"Moderate-high · 20,000-60,000 tokens",,T-COST,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
56,"High · 15,000-40,000 per 3 trials",17:NOTE,T-COST,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
57,"High · 20,000-80,000 per session",,T-COST,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
58,"Very high · 30,000-120,000 per session",,T-COST,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
59,"Extremely high · 100,000-500,000",,T-COST,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
60,"Highest · 50,000-500,000",,T-COST,file://Knowledge_Graph_Graphify/ckg-agent-loop-patterns-v0.1.md,sha256:dbd073b94ab9a5f7cae72ba1b2ac3cf04ee8fab9aea9f59299df99deadac57e0
